record_id,year_be,month,amphoe,sector,scope,activity_data,activity_unit,emission_tCO2e
24,2562,9,ค้อวัง,การปลูกข้าว (Rice),1,15.8,ไร่ (rai),21.72
25,2564,10,สว่างแดนดิน,ปศุสัตว์ (Livestock),1,17.8,unit,13.23
26,2562,7,พรรณานิคม,การปลูกข้าว (Rice),1,156.1,ไร่ (rai),176.42
27,2563,5,พรรณานิคม,พลังงานธุรกิจ (Commercial),2,164.0,unit,92.72
28,2564,11,โพนนาแก้ว,การปลูกข้าว (Rice),1,8.9,ไร่ (rai),9.16
29,2562,6,ส่องดาว,การปลูกข้าว (Rice),1,46.9,ไร่ (rai),63.97
30,2564,11,เต่างอย,การปลูกข้าว (Rice),1,98.5,ไร่ (rai),120.78
31,2562,4,วานรนิวาส,ปศุสัตว์ (Livestock),1,86.8,unit,72.11
32,2562,12,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,5.3,1000 L,13.42
33,2563,8,บ้านม่วง,การปลูกข้าว (Rice),1,119.3,ไร่ (rai),139.83
34,2564,1,กุสุมาลย์,การปลูกข้าว (Rice),1,43.8,ไร่ (rai),59.96
35,2563,3,คำตากล้า,ฝังกลบขยะ (Landfill),1,96.6,unit,73.14
36,2563,9,ส่องดาว,การปลูกข้าว (Rice),1,113.5,ไร่ (rai),154.33
37,2563,9,คำตากล้า,การขนส่งทางถนน (On-road),1,59.9,1000 L,183.82
38,2563,6,บ้านม่วง,การปลูกข้าว (Rice),1,116.8,ไร่ (rai),140.31
39,2564,2,กุสุมาลย์,การปลูกข้าว (Rice),1,124.3,ไร่ (rai),145.75
40,2563,3,เมืองสกลนคร,การขนส่งทางถนน (On-road),1,41.5,1000 L,114.63
41,2563,11,โคกศรีสุพรรณ,ปศุสัตว์ (Livestock),1,136.2,unit,99.09
42,2564,5,วานรนิวาส,การขนส่งทางถนน (On-road),1,38.3,1000 L,89.85
43,2563,9,คำตากล้า,การปลูกข้าว (Rice),1,36.5,ไร่ (rai),48.58
44,2563,7,เมืองสกลนคร,การขนส่งทางถนน (On-road),1,35.5,1000 L,90.05
45,2564,8,คำตากล้า,การขนส่งทางถนน (On-road),1,36.2,1000 L,108.65
46,2564,5,วาริชภูมิ,การปลูกข้าว (Rice),1,111.7,ไร่ (rai),131.03
47,2564,9,นิคมน้ำอูน,การขนส่งทางถนน (On-road),1,57.3,1000 L,146.39
48,2564,3,คำตากล้า,การปลูกข้าว (Rice),1,81.6,ไร่ (rai),91.57
49,2562,2,บ้านม่วง,การปลูกข้าว (Rice),1,106.4,ไร่ (rai),134.23
50,2562,5,เจริญศิลป์,การขนส่งทางถนน (On-road),1,31.2,1000 L,78.58
51,2563,6,โพนนาแก้ว,การปลูกข้าว (Rice),1,135.4,ไร่ (rai),163.26
52,2563,11,ค้อวัง,การปลูกข้าว (Rice),1,113.3,ไร่ (rai),149.57
53,2562,10,เมืองสกลนคร,พลังงานที่พักอาศัย (Residential),2,153.8,1000 kWh,73.02
54,2562,4,พรรณานิคม,การปลูกข้าว (Rice),1,99.9,ไร่ (rai),128.34
55,2562,6,พรรณานิคม,การขนส่งทางถนน (On-road),1,43.7,1000 L,111.44
56,2564,3,อากาศอำนวย,การปลูกข้าว (Rice),1,97.4,ไร่ (rai),118.84
57,2562,8,วาริชภูมิ,การปลูกข้าว (Rice),1,75.8,ไร่ (rai),92.6
58,2563,5,พรรณานิคม,การปลูกข้าว (Rice),1,89.7,ไร่ (rai),99.02
59,2562,2,เมืองสกลนคร,การปลูกข้าว (Rice),1,125.7,ไร่ (rai),159.12
60,2562,5,กุสุมาลย์,การปลูกข้าว (Rice),1,116.7,ไร่ (rai),123.1
61,2562,6,ภูพาน,น้ำเสีย (Wastewater),1,216.6,unit,109.21
62,2563,9,กุสุมาลย์,ปศุสัตว์ (Livestock),1,89.3,unit,75.01
63,2564,8,นิคมน้ำอูน,การปลูกข้าว (Rice),1,13.2,ไร่ (rai),14.57
64,2563,6,ค้อวัง,การปลูกข้าว (Rice),1,155.2,ไร่ (rai),180.75
65,2562,5,พังโคน,พลังงานที่พักอาศัย (Residential),2,226.6,1000 kWh,116.28
66,2563,10,โพนนาแก้ว,การปลูกข้าว (Rice),1,96.5,ไร่ (rai),109.14
67,2564,9,เจริญศิลป์,การขนส่งทางถนน (On-road),1,41.6,1000 L,116.3
68,2563,8,กุสุมาลย์,การปลูกข้าว (Rice),1,85.0,ไร่ (rai),95.58
69,2563,1,เมืองสกลนคร,การปลูกข้าว (Rice),1,124.4,ไร่ (rai),138.11
70,2562,11,สว่างแดนดิน,การปลูกข้าว (Rice),1,180.7,ไร่ (rai),207.95
71,2562,12,เมืองสกลนคร,ปศุสัตว์ (Livestock),1,45.9,unit,41.3
72,2564,10,ค้อวัง,การปลูกข้าว (Rice),1,91.6,ไร่ (rai),119.08
73,2563,8,เมืองสกลนคร,ฝังกลบขยะ (Landfill),1,160.4,unit,147.33
74,2564,6,เมืองสกลนคร,การปลูกข้าว (Rice),1,127.0,ไร่ (rai),161.7
75,2562,5,วาริชภูมิ,พลังงานที่พักอาศัย (Residential),2,294.8,1000 kWh,137.64
76,2562,9,เต่างอย,การปลูกข้าว (Rice),1,74.5,ไร่ (rai),79.65
77,2562,9,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,56.7,1000 L,135.65
78,2564,3,พังโคน,การปลูกข้าว (Rice),1,42.5,ไร่ (rai),48.41
79,2563,3,สว่างแดนดิน,น้ำเสีย (Wastewater),1,209.8,unit,105.15
80,2564,6,เจริญศิลป์,การปลูกข้าว (Rice),1,26.5,ไร่ (rai),31.71
81,2562,12,พรรณานิคม,การปลูกข้าว (Rice),1,124.3,ไร่ (rai),146.05
82,2562,12,โพนนาแก้ว,การปลูกข้าว (Rice),1,103.2,ไร่ (rai),140.59
83,2562,8,กุสุมาลย์,ดินที่จัดการ (Managed soil),1,267.8,unit,141.68
84,2562,3,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,84.7,1000 L,232.13
85,2562,10,พรรณานิคม,การปลูกข้าว (Rice),1,60.0,ไร่ (rai),69.17
86,2562,9,ภูพาน,การปลูกข้าว (Rice),1,91.9,ไร่ (rai),97.33
87,2564,4,เต่างอย,การปลูกข้าว (Rice),1,56.6,ไร่ (rai),65.57
88,2563,4,เมืองสกลนคร,การขนส่งทางถนน (On-road),1,32.0,1000 L,89.51
89,2563,9,นิคมน้ำอูน,การปลูกข้าว (Rice),1,122.1,ไร่ (rai),160.19
90,2562,3,โคกศรีสุพรรณ,การปลูกข้าว (Rice),1,74.1,ไร่ (rai),86.57
91,2564,6,สว่างแดนดิน,ฝังกลบขยะ (Landfill),1,179.7,unit,135.01
92,2564,1,บ้านม่วง,การปลูกข้าว (Rice),1,62.4,ไร่ (rai),68.18
93,2563,2,เต่างอย,การขนส่งทางถนน (On-road),1,26.0,1000 L,71.25
94,2564,11,เต่างอย,การปลูกข้าว (Rice),1,99.4,ไร่ (rai),123.35
95,2564,8,เจริญศิลป์,พลังงานที่พักอาศัย (Residential),2,161.1,1000 kWh,80.84
96,2562,4,คำตากล้า,การปลูกข้าว (Rice),1,142.2,ไร่ (rai),148.67
97,2562,8,สว่างแดนดิน,การปลูกข้าว (Rice),1,70.6,ไร่ (rai),89.33
98,2564,10,วาริชภูมิ,การขนส่งทางถนน (On-road),1,5.0,1000 L,15.2
99,2564,11,กุสุมาลย์,การขนส่งทางถนน (On-road),1,34.4,1000 L,80.76
100,2564,12,ภูพาน,การปลูกข้าว (Rice),1,112.8,ไร่ (rai),146.02
101,2563,10,คำตากล้า,การปลูกข้าว (Rice),1,107.0,ไร่ (rai),112.0
102,2563,10,กุสุมาลย์,การปลูกข้าว (Rice),1,120.8,ไร่ (rai),123.68
103,2563,8,กุสุมาลย์,การปลูกข้าว (Rice),1,89.7,ไร่ (rai),109.54
104,2562,6,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,60.6,1000 L,184.77
105,2563,7,วานรนิวาส,การปลูกข้าว (Rice),1,64.7,ไร่ (rai),81.48
106,2564,6,คำตากล้า,การปลูกข้าว (Rice),1,108.7,ไร่ (rai),147.39
107,2563,9,เมืองสกลนคร,การขนส่งทางถนน (On-road),1,35.0,1000 L,88.12
108,2564,1,เต่างอย,การปลูกข้าว (Rice),1,63.4,ไร่ (rai),71.9
109,2562,6,กุสุมาลย์,การปลูกข้าว (Rice),1,39.0,ไร่ (rai),44.34
110,2562,12,พังโคน,ปศุสัตว์ (Livestock),1,89.8,unit,75.86
111,2562,7,โพนนาแก้ว,พลังงานที่พักอาศัย (Residential),2,121.5,1000 kWh,66.37
112,2562,8,ส่องดาว,การขนส่งทางถนน (On-road),1,32.1,1000 L,77.8
113,2562,11,กุสุมาลย์,การปลูกข้าว (Rice),1,65.6,ไร่ (rai),70.03
114,2562,7,เจริญศิลป์,การขนส่งทางถนน (On-road),1,14.7,1000 L,38.31
115,2562,6,วาริชภูมิ,การปลูกข้าว (Rice),1,75.1,ไร่ (rai),94.26
116,2564,2,สว่างแดนดิน,การปลูกข้าว (Rice),1,80.7,ไร่ (rai),93.17
117,2562,11,ส่องดาว,การขนส่งทางถนน (On-road),1,39.5,1000 L,104.14
118,2562,10,โพนนาแก้ว,การขนส่งทางถนน (On-road),1,31.5,1000 L,73.57
119,2562,12,พังโคน,การปลูกข้าว (Rice),1,127.2,ไร่ (rai),143.48
120,2562,5,สว่างแดนดิน,การปลูกข้าว (Rice),1,65.1,ไร่ (rai),80.14
121,2563,2,คำตากล้า,การปลูกข้าว (Rice),1,92.8,ไร่ (rai),126.71
122,2563,7,นิคมน้ำอูน,น้ำเสีย (Wastewater),1,218.7,unit,121.07
123,2562,1,ค้อวัง,การขนส่งทางถนน (On-road),1,52.2,1000 L,149.95
124,2563,7,สว่างแดนดิน,การปลูกข้าว (Rice),1,145.1,ไร่ (rai),156.77
125,2564,7,เมืองสกลนคร,การขนส่งทางถนน (On-road),1,41.7,1000 L,103.0
126,2562,11,นิคมน้ำอูน,การปลูกข้าว (Rice),1,71.2,ไร่ (rai),91.11
127,2564,7,นิคมน้ำอูน,การขนส่งทางถนน (On-road),1,57.2,1000 L,163.15
128,2562,9,เต่างอย,การขนส่งทางถนน (On-road),1,31.1,1000 L,92.19
129,2562,12,นิคมน้ำอูน,ดินที่จัดการ (Managed soil),1,236.8,unit,125.93
130,2562,9,โพนนาแก้ว,การขนส่งทางถนน (On-road),1,54.3,1000 L,157.93
131,2562,5,สว่างแดนดิน,การปลูกข้าว (Rice),1,64.0,ไร่ (rai),70.69
132,2563,5,เต่างอย,การปลูกข้าว (Rice),1,122.6,ไร่ (rai),141.92
133,2562,1,โพนนาแก้ว,ปศุสัตว์ (Livestock),1,186.9,unit,150.25
134,2562,5,เต่างอย,ฝังกลบขยะ (Landfill),1,131.7,unit,116.31
135,2564,5,ภูพาน,การขนส่งทางถนน (On-road),1,16.7,1000 L,40.33
136,2563,7,นิคมน้ำอูน,การปลูกข้าว (Rice),1,87.1,ไร่ (rai),110.22
137,2562,9,พรรณานิคม,พลังงานที่พักอาศัย (Residential),2,14.3,1000 kWh,7.97
138,2564,9,พังโคน,การขนส่งทางถนน (On-road),1,39.7,1000 L,107.93
139,2562,4,โคกศรีสุพรรณ,การปลูกข้าว (Rice),1,109.0,ไร่ (rai),138.57
140,2563,7,ค้อวัง,การปลูกข้าว (Rice),1,32.4,ไร่ (rai),42.53
141,2562,3,ค้อวัง,การปลูกข้าว (Rice),1,110.7,ไร่ (rai),119.11
142,2563,7,วาริชภูมิ,การขนส่งทางถนน (On-road),1,45.3,1000 L,121.67
143,2562,5,วานรนิวาส,ฝังกลบขยะ (Landfill),1,143.1,unit,106.75
144,2564,1,บ้านม่วง,ปศุสัตว์ (Livestock),1,158.7,unit,113.28
145,2564,2,พรรณานิคม,น้ำเสีย (Wastewater),1,376.8,unit,204.59
146,2563,3,เมืองสกลนคร,การปลูกข้าว (Rice),1,131.0,ไร่ (rai),175.1
147,2563,6,วานรนิวาส,การปลูกข้าว (Rice),1,37.0,ไร่ (rai),48.67
148,2563,2,นิคมน้ำอูน,การขนส่งทางถนน (On-road),1,52.9,1000 L,157.53
149,2562,11,กุสุมาลย์,การปลูกข้าว (Rice),1,89.0,ไร่ (rai),117.78
150,2563,5,โคกศรีสุพรรณ,การปลูกข้าว (Rice),1,73.1,ไร่ (rai),93.57
151,2563,10,ค้อวัง,การขนส่งทางถนน (On-road),1,70.4,1000 L,213.84
152,2562,12,โพนนาแก้ว,การปลูกข้าว (Rice),1,116.0,ไร่ (rai),130.23
153,2563,7,เต่างอย,ปศุสัตว์ (Livestock),1,210.4,unit,177.93
154,2563,4,อากาศอำนวย,การขนส่งทางถนน (On-road),1,48.2,1000 L,140.7
155,2564,12,ค้อวัง,การขนส่งทางถนน (On-road),1,55.2,1000 L,148.05
156,2562,3,เจริญศิลป์,การปลูกข้าว (Rice),1,121.0,ไร่ (rai),143.31
157,2564,2,พังโคน,ปศุสัตว์ (Livestock),1,73.3,unit,56.34
158,2562,10,เต่างอย,ปศุสัตว์ (Livestock),1,108.5,unit,82.48
159,2562,4,เจริญศิลป์,การขนส่งทางถนน (On-road),1,37.9,1000 L,108.87
160,2562,12,อากาศอำนวย,การขนส่งทางถนน (On-road),1,57.1,1000 L,140.52
161,2564,8,โพนนาแก้ว,การขนส่งทางถนน (On-road),1,55.7,1000 L,143.23
162,2562,4,ค้อวัง,การปลูกข้าว (Rice),1,136.9,ไร่ (rai),167.14
163,2564,10,เต่างอย,การปลูกข้าว (Rice),1,37.7,ไร่ (rai),45.14
164,2564,7,นิคมน้ำอูน,การขนส่งทางถนน (On-road),1,42.5,1000 L,117.74
165,2563,3,เต่างอย,พลังงานที่พักอาศัย (Residential),2,83.3,1000 kWh,36.94
166,2562,12,ค้อวัง,ฝังกลบขยะ (Landfill),1,126.1,unit,95.46
167,2562,8,ค้อวัง,การปลูกข้าว (Rice),1,81.1,ไร่ (rai),106.95
168,2563,11,นิคมน้ำอูน,การปลูกข้าว (Rice),1,32.2,ไร่ (rai),38.59
169,2562,2,นิคมน้ำอูน,การปลูกข้าว (Rice),1,73.8,ไร่ (rai),97.75
170,2562,11,ค้อวัง,การปลูกข้าว (Rice),1,36.5,ไร่ (rai),49.1
171,2563,1,วาริชภูมิ,การปลูกข้าว (Rice),1,166.1,ไร่ (rai),177.61
172,2562,1,อากาศอำนวย,ปศุสัตว์ (Livestock),1,76.9,unit,55.25
173,2563,12,อากาศอำนวย,พลังงานธุรกิจ (Commercial),2,254.8,unit,155.07
174,2563,8,นิคมน้ำอูน,การปลูกข้าว (Rice),1,83.6,ไร่ (rai),95.48
175,2562,8,พังโคน,ดินที่จัดการ (Managed soil),1,138.5,unit,71.89
176,2562,12,คำตากล้า,การปลูกข้าว (Rice),1,137.7,ไร่ (rai),161.97
177,2563,4,สว่างแดนดิน,น้ำเสีย (Wastewater),1,144.2,unit,81.17
178,2562,4,วาริชภูมิ,ฝังกลบขยะ (Landfill),1,244.9,unit,218.54
179,2562,8,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,18.9,1000 L,54.99
180,2562,1,สว่างแดนดิน,การปลูกข้าว (Rice),1,142.3,ไร่ (rai),174.62
181,2562,9,สว่างแดนดิน,การปลูกข้าว (Rice),1,119.3,ไร่ (rai),130.04
182,2564,1,ส่องดาว,การขนส่งทางถนน (On-road),1,20.1,1000 L,51.62
183,2564,10,ค้อวัง,ปศุสัตว์ (Livestock),1,183.4,unit,145.51
184,2564,10,พรรณานิคม,การปลูกข้าว (Rice),1,130.8,ไร่ (rai),162.45
185,2562,10,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,48.3,1000 L,125.61
186,2564,11,สว่างแดนดิน,การปลูกข้าว (Rice),1,146.6,ไร่ (rai),168.84
187,2563,7,สว่างแดนดิน,การปลูกข้าว (Rice),1,83.5,ไร่ (rai),109.88
188,2563,3,วาริชภูมิ,การปลูกข้าว (Rice),1,102.2,ไร่ (rai),112.33
189,2562,5,เต่างอย,ปศุสัตว์ (Livestock),1,189.6,unit,170.77
190,2563,2,วาริชภูมิ,การขนส่งทางถนน (On-road),1,37.6,1000 L,88.39
191,2562,7,เต่างอย,พลังงานที่พักอาศัย (Residential),2,102.3,1000 kWh,56.68
192,2564,3,สว่างแดนดิน,ปศุสัตว์ (Livestock),1,41.3,unit,33.5
193,2564,3,ค้อวัง,ปศุสัตว์ (Livestock),1,86.3,unit,72.36
194,2563,5,เจริญศิลป์,ปศุสัตว์ (Livestock),1,204.1,unit,148.7
195,2564,2,อากาศอำนวย,ดินที่จัดการ (Managed soil),1,369.2,unit,197.02
196,2563,8,วาริชภูมิ,พลังงานที่พักอาศัย (Residential),2,177.8,1000 kWh,76.37
197,2564,7,ส่องดาว,การปลูกข้าว (Rice),1,81.8,ไร่ (rai),101.29
198,2564,6,พังโคน,น้ำเสีย (Wastewater),1,152.4,unit,74.45
199,2563,10,ค้อวัง,พลังงานที่พักอาศัย (Residential),2,176.4,1000 kWh,78.63
200,2563,2,ส่องดาว,ปศุสัตว์ (Livestock),1,74.8,unit,60.77
201,2564,11,คำตากล้า,พลังงานที่พักอาศัย (Residential),2,235.6,1000 kWh,119.23
202,2564,6,อากาศอำนวย,พลังงานที่พักอาศัย (Residential),2,304.4,1000 kWh,142.7
203,2563,8,เมืองสกลนคร,การปลูกข้าว (Rice),1,91.4,ไร่ (rai),100.32
204,2563,11,วานรนิวาส,การปลูกข้าว (Rice),1,78.7,ไร่ (rai),90.54
205,2563,3,ส่องดาว,การปลูกข้าว (Rice),1,118.8,ไร่ (rai),141.5
206,2563,9,โพนนาแก้ว,การปลูกข้าว (Rice),1,43.3,ไร่ (rai),47.75
207,2564,3,วานรนิวาส,ฝังกลบขยะ (Landfill),1,85.8,unit,61.69
208,2562,11,ภูพาน,การขนส่งทางถนน (On-road),1,47.7,1000 L,136.12
209,2563,12,เต่างอย,การปลูกข้าว (Rice),1,133.4,ไร่ (rai),136.32
210,2562,5,ภูพาน,การปลูกข้าว (Rice),1,13.8,ไร่ (rai),17.97
211,2564,2,พรรณานิคม,ฝังกลบขยะ (Landfill),1,125.8,unit,101.14
212,2564,3,โพนนาแก้ว,การปลูกข้าว (Rice),1,79.6,ไร่ (rai),82.22
213,2562,1,กุสุมาลย์,ฝังกลบขยะ (Landfill),1,136.7,unit,109.24
214,2564,3,บ้านม่วง,การปลูกข้าว (Rice),1,78.3,ไร่ (rai),102.98
215,2564,1,สว่างแดนดิน,การปลูกข้าว (Rice),1,83.4,ไร่ (rai),112.89
216,2564,10,พรรณานิคม,การขนส่งทางถนน (On-road),1,47.2,1000 L,135.09
217,2564,2,กุสุมาลย์,การขนส่งทางถนน (On-road),1,29.6,1000 L,82.66
218,2564,3,โคกศรีสุพรรณ,การปลูกข้าว (Rice),1,62.2,ไร่ (rai),65.83
219,2564,4,วานรนิวาส,การขนส่งทางถนน (On-road),1,34.9,1000 L,97.8
220,2562,1,บ้านม่วง,พลังงานที่พักอาศัย (Residential),2,301.5,1000 kWh,165.83
221,2563,11,วาริชภูมิ,การปลูกข้าว (Rice),1,70.6,ไร่ (rai),93.65
222,2563,10,ค้อวัง,การปลูกข้าว (Rice),1,122.2,ไร่ (rai),164.09
223,2563,5,กุสุมาลย์,น้ำเสีย (Wastewater),1,248.5,unit,132.77
224,2563,6,เมืองสกลนคร,พลังงานธุรกิจ (Commercial),2,91.0,unit,56.71
225,2564,4,นิคมน้ำอูน,การปลูกข้าว (Rice),1,139.8,ไร่ (rai),146.19
226,2564,7,ส่องดาว,การปลูกข้าว (Rice),1,65.6,ไร่ (rai),78.04
227,2563,4,ภูพาน,พลังงานธุรกิจ (Commercial),2,157.2,unit,89.27
228,2564,4,พรรณานิคม,การปลูกข้าว (Rice),1,95.5,ไร่ (rai),124.03
229,2563,3,คำตากล้า,น้ำเสีย (Wastewater),1,247.6,unit,138.89
230,2563,5,บ้านม่วง,พลังงานที่พักอาศัย (Residential),2,389.7,1000 kWh,169.59
231,2563,1,วาริชภูมิ,การขนส่งทางถนน (On-road),1,82.2,1000 L,245.48
232,2563,11,ภูพาน,การปลูกข้าว (Rice),1,71.9,ไร่ (rai),97.23
233,2563,4,อากาศอำนวย,การปลูกข้าว (Rice),1,39.5,ไร่ (rai),50.83
234,2562,4,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,43.9,1000 L,128.71
235,2564,1,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,43.0,1000 L,101.79
236,2563,12,พรรณานิคม,การขนส่งทางถนน (On-road),1,57.5,1000 L,170.68
237,2562,1,พรรณานิคม,การปลูกข้าว (Rice),1,199.5,ไร่ (rai),220.62
238,2564,8,วาริชภูมิ,การปลูกข้าว (Rice),1,135.6,ไร่ (rai),140.36
239,2564,8,โคกศรีสุพรรณ,ปศุสัตว์ (Livestock),1,168.1,unit,151.05
240,2562,12,เมืองสกลนคร,ปศุสัตว์ (Livestock),1,127.1,unit,110.99
241,2562,4,บ้านม่วง,ปศุสัตว์ (Livestock),1,106.5,unit,97.06
242,2564,7,บ้านม่วง,การปลูกข้าว (Rice),1,97.9,ไร่ (rai),105.11
243,2564,7,กุสุมาลย์,การปลูกข้าว (Rice),1,104.7,ไร่ (rai),121.71
244,2564,2,พังโคน,การปลูกข้าว (Rice),1,82.4,ไร่ (rai),96.03
245,2562,5,โพนนาแก้ว,การปลูกข้าว (Rice),1,124.2,ไร่ (rai),166.76
246,2563,11,โพนนาแก้ว,ดินที่จัดการ (Managed soil),1,229.7,unit,112.81
247,2562,9,วาริชภูมิ,การปลูกข้าว (Rice),1,48.2,ไร่ (rai),63.64
248,2562,9,ค้อวัง,พลังงานที่พักอาศัย (Residential),2,220.7,1000 kWh,98.55
249,2562,5,ส่องดาว,การปลูกข้าว (Rice),1,56.6,ไร่ (rai),70.8
250,2562,1,กุสุมาลย์,การปลูกข้าว (Rice),1,69.0,ไร่ (rai),74.36
251,2563,8,วาริชภูมิ,การขนส่งทางถนน (On-road),1,34.5,1000 L,82.01
252,2564,4,เมืองสกลนคร,ฝังกลบขยะ (Landfill),1,125.3,unit,106.76
253,2563,7,ค้อวัง,ปศุสัตว์ (Livestock),1,151.1,unit,107.13
254,2562,7,อากาศอำนวย,การขนส่งทางถนน (On-road),1,15.9,1000 L,49.04
255,2562,9,อากาศอำนวย,น้ำเสีย (Wastewater),1,354.5,unit,160.7
256,2564,12,พรรณานิคม,ปศุสัตว์ (Livestock),1,159.2,unit,143.63
257,2562,4,กุสุมาลย์,การปลูกข้าว (Rice),1,57.9,ไร่ (rai),72.39
258,2563,1,เจริญศิลป์,ปศุสัตว์ (Livestock),1,101.8,unit,84.6
259,2564,4,วาริชภูมิ,พลังงานที่พักอาศัย (Residential),2,229.8,1000 kWh,122.79
260,2564,2,โพนนาแก้ว,การขนส่งทางถนน (On-road),1,59.7,1000 L,149.66
261,2562,10,คำตากล้า,การปลูกข้าว (Rice),1,90.8,ไร่ (rai),102.01
262,2562,11,คำตากล้า,การขนส่งทางถนน (On-road),1,68.3,1000 L,196.02
263,2562,10,พังโคน,ฝังกลบขยะ (Landfill),1,108.3,unit,91.11
264,2564,11,โคกศรีสุพรรณ,การขนส่งทางถนน (On-road),1,26.8,1000 L,78.4
265,2563,12,อากาศอำนวย,การปลูกข้าว (Rice),1,118.0,ไร่ (rai),121.24
266,2563,12,วาริชภูมิ,การปลูกข้าว (Rice),1,51.5,ไร่ (rai),56.5
267,2563,2,เจริญศิลป์,การปลูกข้าว (Rice),1,211.0,ไร่ (rai),280.95
268,2562,2,นิคมน้ำอูน,น้ำเสีย (Wastewater),1,277.3,unit,149.16
269,2562,6,โพนนาแก้ว,ปศุสัตว์ (Livestock),1,162.8,unit,127.43
270,2564,9,คำตากล้า,การปลูกข้าว (Rice),1,54.2,ไร่ (rai),55.5
271,2562,2,บ้านม่วง,การขนส่งทางถนน (On-road),1,52.9,1000 L,130.96
272,2564,7,พังโคน,พลังงานธุรกิจ (Commercial),2,156.7,unit,88.57
273,2562,3,นิคมน้ำอูน,การปลูกข้าว (Rice),1,117.2,ไร่ (rai),161.2
274,2562,6,ภูพาน,การขนส่งทางถนน (On-road),1,16.1,1000 L,42.07
275,2562,10,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,44.8,1000 L,108.47
276,2562,5,อากาศอำนวย,การปลูกข้าว (Rice),1,103.6,ไร่ (rai),113.27
277,2563,7,เจริญศิลป์,การปลูกข้าว (Rice),1,67.2,ไร่ (rai),87.23
278,2564,6,พรรณานิคม,การขนส่งทางถนน (On-road),1,41.5,1000 L,101.56
279,2564,10,กุสุมาลย์,การปลูกข้าว (Rice),1,87.4,ไร่ (rai),92.2
280,2562,7,เมืองสกลนคร,การปลูกข้าว (Rice),1,73.8,ไร่ (rai),90.63
281,2564,2,เต่างอย,ฝังกลบขยะ (Landfill),1,31.6,unit,26.71
282,2564,12,ส่องดาว,น้ำเสีย (Wastewater),1,146.3,unit,62.4
283,2562,8,สว่างแดนดิน,การขนส่งทางถนน (On-road),1,52.9,1000 L,144.25
284,2564,12,นิคมน้ำอูน,ปศุสัตว์ (Livestock),1,135.8,unit,103.13
285,2563,2,บ้านม่วง,ฝังกลบขยะ (Landfill),1,144.9,unit,103.14
286,2564,7,เมืองสกลนคร,การปลูกข้าว (Rice),1,54.6,ไร่ (rai),61.37
287,2562,7,คำตากล้า,การปลูกข้าว (Rice),1,66.8,ไร่ (rai),77.17
